IO-Digital8 Sensor;1-IO-Digital8 Sensor IO-Digital8 sensor with 8 ALARM/NORMAL indication The dry contacts can be configured as inputs or outputs and the IO-digital8 is user definable so it can be used to detect many different inputs.  2-  IO-Digital8 sensor with 8 ALARM/NORMAL indication in the AKCP securityProbe 5E web interface. Can have 8 dry contacts on one Intelligent Sensor port. The main housing can be mounted on a wall and a standard CAT5 cable can be run to the intelligent sensor port on the securityProbe 5E. There are two versions of the IO-digital8 depending on your requirements. The first version has a single RJ45 connector at one end and 8 x 2 pin dry contact connectors along one side. The second unit also has a single RJ45 connector at one end but the 8 x 2 pin dry contact connectors are replaced by two RJ45 connectors, each compatible with 4 dry contacts. The dry contacts can be configured as inputs or outputs and the IO-digital8 is user definable so can be used to detect many different inputs such as UPS status, security systems, alarm panels or air conditioning status. ;N/A;https://www.akcp.com/wp-content/uploads/2015/01/io-digital8.png
AC Voltage Sensor;1-AC Voltage Sensor The AC voltage detector is used to indicate the presence or absence of line voltage The AC Voltage Detector indicates an ALARM/NORMAL condition in software and also via an LED mounted on the sensor.  2-  The AC voltage detector is used to indicate the presence or absence of line voltage. This is useful, for example to tell when the UPS is running on battery power. The AC Voltage Detector indicates an ALARM/NORMAL condition in software and also via an LED mounted on the sensor. Voltage detectors can detect the presence or the absence of line voltage. It is designed for use worldwide. There is an SNMP interface for getting the alarm/normal status. SNMP traps are sent when critical conditions occur. SNMP polling via ‘get’ is available to retrieve existing status and configuration parameters. The Web browser interface is also available to display the status and configuration parameters. When an alarm condition is activated the description and location of the fault can be sent via email, page or traps. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/AC-Voltage-Sensor.png
USB to Serial Adapter;1-USB to Serial Adapter This adapter converts a serial interface to a USB input Allows you to connect the older serial type modems to the USB input port on the securityProbe 5E unit.  2-  As part of AKCP’s continued support for customers using the securityProbe 5E there is a USB to serial adapter specifically for use with this unit. This adapter converts a serial interface to a USB input allowing you to connect the older serial type modems to the USB input port on the securityProbe 5E unit. ;N/A;https://www.akcp.com/wp-content/uploads/2015/02/rs232-to-usb.png
vibrationDetect Sensor;1-vibrationDetect Sensor The AKCP vibrationDetect sensor is designed for protecting against forced entry This product can be connected to both the sensorProbe or securityProbe base units.  2-  The AKCP vibrationDetect sensor is a normally closed input switch that will detect when there is vibration, or a window is broken. It can be connected to both the sensorProbe or securityProbe base units and then linked to notification alerts. This sensor is designed for protecting against forced entry by hammer, saw, crowbar etc… through walls, ceilings, windows, safes, cabinets, etc… It will initiate an alarm when a vibration from a non-desirable force strikes the protected surface. A built-in tamper switch is independent from the circuit of the vibration detector for your convenience. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/vibration-detector-sensor.png
securityProbe5ES;1-securityProbe 5ES The only monitoring system you’ll ever need… Monitor the physical environment and receive alerts of any disturbances, such as unauthorized intruders, security breaches, high temperatures, smoke, water leakages, power outages and more.  2-  Monitor the physical environment and receive alerts of any disturbances, such as unauthorized intruders, security breaches, high temperatures, smoke, water leakages, power outages and more. Compatible with all of the AKCP range of Intelligent Sensors it provides a complete environmental, access control and security monitoring solution for up to 500 connected sensors. The securityProbe 5E Standard has a Linux Operating System running an iMX25 CPU. An additional 2 Gigabytes SD card can be installed to provide greater storage capacity. Networked Monitoring It is TCP / IP compliant and runs lighttpd web server including https (SSL), Bash, Perl, Telnet, PHP, Email and Nagios. The securityProbe 5E Standard has an easy-to-use web-based user interface for sensor configuration, data collection and extensive graphing. Complete SNMP functions such including SNMP v3 encryption are supported. The securityProbe 5E Standard also supports Modbus Master / Slave, Modbus RTU and Modbus over TCP / IP creating a unique, easy to configure Modbus to SNMP gateway. The web-based interface is written in PHP allowing end-user changes such as language translation. The securityProbe 5E Standard has a battery backed time of day clock for accurate record keeping. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/securityProbe-5ES-enviroment-monitoring-for-computer-rooms1.png
Universal Mount Digital Camera – IR Enabled;1-Universal Mount Digital Camera – IR Enabled Visually inspect your enterprise assets and resources via your browser from anywhere in the world The AKCP UMDC has IR night vision capability and delivers between 15fps and 30fps depending on the resolution selected.  2-  Use this Universal Mount Digital Camera (UMDC) digital camera to visually inspect your enterprise assets and resources via your browser from anywhere in the world. The AKCP UMDC provides optimum features for deployment with the AKCP securityProbe series. It has IR night vision capability and delivers between 15fps and 30fps depending on the resolution selected. The AKCP UMDC is ideal for use with the securityProbe 5E, capable of accepting 4 cameras, and the AKCess Server application, that can connect many UMDC’s for recording and playback of video footage. Still images are in universal JPG digital format, allowing easy use of third party host tools to store and analyze your pictures. Monitor environments remotely and record events ;N/A;https://www.akcp.com/wp-content/uploads/2015/02/universal-mount-digital-camera.png
sensorProbe8;1-sensorProbe8 High-Speed, Accurate and Rugged. The sensorProbe8 (SP8) is a completely embedded host with a proprietary Linux like OS which includes TCP/IP stack, a built in web-server and full Email and SNMP functionality. It allows you to connect and monitor up to 8 AKCP sensors.  2-  A High-Speed, Accurate and Intelligent Monitoring device. The sensorProbe8 is a completely embedded host with a proprietary Linux like OS which includes TCP/IP stack, a built in web-server and full Email and SNMP functionality. Based on years of Industry Experience it’s ready to run right out of the box, simply assign the IP address and connect to the embedded web server. The sensorProbe8 can record all events in its database with a time stamp of when the sensor alarm was raised and the action taken place. A standalone product with no external software dependencies, the sensorProbe8 gives you the very best for your monitoring needs. It has 8 auto-sense intelligent sensor ports which work with a wide range of AKCP intelligent sensors. It can use any combination of sensors to monitor temperature, humidity, water leakage, airflow, security and even control relays. AKCP sensors can also be used to detect AC voltage and measure DC voltage. Our sensors include an integrated data collection and graphing package to spot trends in the airflow, temperature and humidity. sensorProbe8 safeguards your infrastructure, resources and investment from external disaster before it happens. ;N/A;https://www.akcp.com/wp-content/uploads/2014/11/sensorProbe8.png
ropeWater Sensor;1-ropeWater Sensor Detect water leaks over large area Ideal for use in basements and under false floors and roof spaces, the ropeWater sensor can cover a large area.  2-  With the ropeWater sensor you can protect your essential equipment from potentially harmful water damage. Designed and manufactured by AKCP it forms an integral part of your disaster prevention system. Ideal for use in basements and under false floors and roof spaces, the ropeWater sensor can cover a large area. Combined with any of the sensorProbe series or securityProbe series units it will give you advance notice of any water leaks or flooding. The sensor will retain it’s error condition until it is read via an SNMP get. Therefore if the sensor encounters a critical condition at anytime it will report that condition before it returns to a normal state. ;N/A;https://www.akcp.com/wp-content/uploads/2018/03/SpotWaterSensor-v2.jpg
Electronic Strike Plate with Signal (European Long Type, Fail Safe);1-Electronic Strike Plate with Signal (European Long Type, Fail Safe) A robust design that is made from stainless steel ensures peace of mind for your Access Control needs This Electronic Strike Plate is the European “Long” type variety.  2-  This Electronic Strike Plate is the European “Long” type variety. It works perfectly with our electronic door locks and is compatible with the AKCPro Server application when used in conjunction with our Door Control Unit. A robust design that is made from stainless steel ensures peace of mind for your Access Control needs. This is especially the case when used with our heavy duty door locks. ;N/A;https://www.akcp.com/wp-content/uploads/2015/01/longtype.png
E-Opto16;1-E-Opto16 Add 16 opto Isolated Dry Contact Inputs The E-opto16 is an expansion board that adds 16 opto isolated dry contact inputs and can be connected to any of the 4 RJ-45 expansion ports located on the front panel of the securityProbe base units.  2-  The E-opto16 is an expansion board that adds 16 opto isolated dry contact inputs to the securityProbe 5E. The E-opto16 can be connected to any of the 4 RJ-45 expansion ports located on the front panel of the securityProbe 5E base unit using standard CAT5 LAN cable. The E-opto16 may also be daisychained using the E-Out / E-In ports on other expansion boards. A wide variety of equipment that generates an output signal or voltage can be connected to each of the 2 wire dry contact inputs located on the back of the E-opto16 module. The (16) dry contact input LED status is displayed on the front panel. The E-modules can be extended up to 300 meters from the securityProbe 5E base unit. There is no limit to how many E-modules can be connected to a single securityProbe 5E. It depends only on the number of sensors connected. A maximum of 500 data points can be monitored by the securityProbe 5E base unit. A typical application for the E-opto16 would be to connect the outputs of an alarm panel to each of the 16 dry contact inputs allowing the securityProbe 5E’s full featured built in notification system to be integrated into these alarm panels, or other systems that output a voltage. The 300 meter maximum run length is not the total run length of all of the E-Boards combined. This is each E-Boards maximum run length from either the base unit, or from each other. ;N/A;https://www.akcp.com/wp-content/uploads/2014/10/eopto16.png
sensorProbe2;N/A;N/A;https://www.akcp.com/wp-content/uploads/2014/03/SP2.png
securityProbe5ES-X20;1-securityProbe 5ES-X20 The only monitoring system you’ll ever need… Monitor the physical environment and receive alerts of any disturbances, such as unauthorized intruders, security breaches, high temperatures, smoke, water leakages, power outages and more.  2-  Monitor the physical environment and receive alerts of any disturbances, such as unauthorized intruders, security breaches, high temperatures, smoke, water leakages, power outages and more. Compatible with the AKCP range of Intelligent Sensors, the SEC5ES-X20 provides a complete environmental, access control and security solution for up to 500 connected sensors. The securityProbe5ES-X20 combines all the advantages of the securityProbe 5ES but with an additional 20x 2 Wire Dry Contact inputs. Built into a 1U rack mount box. An additional 2 Gigabyte SD card can be installed to provide greater storage capacity. An internal GSM cellular modem is available as an option for sites with unreliable network connections. Networked Monitoring It is TCP / IP compliant and runs lighttpd web server including https (SSL), Bash, Perl, Telnet, PHP, Email and Nagios. The SEC5ES-X20 has an easy-to-use web-based user interface for sensor configuration, data collection and visual graphing. The SEC5ES-X20 supports SNMP v3 with full encryption. The securityProbe 5ES-X20 also supports Modbus Master / Slave, Modbus RTU and Modbus over TCP / IP creating a unique, easy to configure Modbus to SNMP gateway. The web-based interface is written in PHP allowing end-user changes such as language translation. The SEC5ES-X20 has a battery time of day clock for accurate record keeping. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/5ES-X20.png
S-CCU – Cabinet Control Unit – Server Cabinet Access Control Systems for Data Center Racks;1-Cabinet Control Unit AKCP’s Cabinet Control Unit allows for card reader access to be added to your server cabinets.  2-  AKCP takes security a step further with the server Cabinet Control Unit! Our integrated Access Control system doesn’t stop at simply securing entry and exit points. Now that you have your perimeter secured you can move on to securing your equipment and perhaps more important, your information. It’s very common for companies to have situations where they only want a limited group of high security clearance personnel to have access to their most sensitive information and servers. AKCP’s Cabinet Control Unit allows for card reader access to be added to your server cabinets. For large buildings and data centers it’s possible to daisy chain the cabinet controllers which grants access control for up to hundreds of server cabinets and doors. ;N/A;https://www.akcp.com/wp-content/uploads/2014/12/Cabinet-Control-Unit.png
Mini Sensor Controlled Relay;1-Mini Sensor Controlled Relay Drive larger relays with low current output from the sensorProbeX+ or sensorProbe2+ If you have an equipment with a relay that you would like to switch based on a sensor input, this adapter will output 200mA – 5V DC based on a sensors status. Use this smaller relay as to drive the larger relay on your appliance.  2-  ;N/A;https://www.akcp.com/wp-content/uploads/2018/02/mini-sensor-controlled-relay.jpg
Electronic Strike Plate with Signal (European Long Type, Fail Secure);1-Electronic Strike Plate with Signal (European Long Type, Fail Secure) A robust design that is made from stainless steel ensures peace of mind for your Access Control needs This Electronic Strike Plate is the European “Long” type variety.  2-  This Electronic Strike Plate is the European “Long” type variety. It works perfectly with our electronic door locks and is compatible with the AKCPro Server application when used in conjunction with our Door Control Unit. A robust design that is made from stainless steel ensures peace of mind for your Access Control needs. This is especially the case when used with our heavy duty door locks. Adding the ACDL06 or other door latch handle ensures that in an emergency the door can be opened using the handle or keys supplied. ;N/A;https://www.akcp.com/wp-content/uploads/2015/01/longtype.png
LBTDPS;N/A;N/A;/wp-content/uploads/2016/09/play-video-icon.png
Air Velocity Transmitter;1-Air Velocity Transmitter The Air Velocity Transmitter is designed for systems that generate heat, and a steady flow of air is necessary to dissipate this in order to maintain system reliability and safety This device is meant to monitor the status and the amount of the flowing air.  2-  The AKCP Air Velocity Transmitter is designed for systems that generate heat, and a steady flow of air is necessary to dissipate this in order to maintain system reliability and safety. The Air Velocity Transmitter sensor is placed in the path of the air stream, where the user can monitor the status and the amount of the flowing air. The sensorProbe or securityProbe web interface shows this information using a percentage and graphical display. In addition to an on/off indication, it also graphs the analog values over a period of time. If, for example, the air flow decreases the web interface will show an indication of change over time. In addition to the web interface readings the sensor has its own SNMP OID for alarm/normal status and to get the current analog value. SNMP traps are sent when critical. polling via SNMP get is also available. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/data-center-air-velocity-transmitter.png
Air Velocity Transmitter;1-Air Velocity Transmitter The Air Velocity Transmitter is designed for systems that generate heat, and a steady flow of air is necessary to dissipate this in order to maintain system reliability and safety This device is meant to monitor the status and the amount of the flowing air.  2-  The AKCP Air Velocity Transmitter is designed for systems that generate heat, and a steady flow of air is necessary to dissipate this in order to maintain system reliability and safety. The Air Velocity Transmitter sensor is placed in the path of the air stream, where the user can monitor the status and the amount of the flowing air. The sensorProbe or securityProbe web interface shows this information using a percentage and graphical display. In addition to an on/off indication, it also graphs the analog values over a period of time. If, for example, the air flow decreases the web interface will show an indication of change over time. In addition to the web interface readings the sensor has its own SNMP OID for alarm/normal status and to get the current analog value. SNMP traps are sent when critical. polling via SNMP get is also available. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/data-center-air-velocity-transmitter.png
sensorProbe8-X20;1-sensorProbe8-X20 High-Speed, Accurate and Rugged. At the core of the sensorProbe8-X20 is the sensorProbe8, which is then married with the 20 Dry Contact System. This offers support for remote monitoring and management of a wide range of external devices.  2-  At the core of the sensorProbe8-X20 is the sensorProbe8, which is then married with the 20 Dry Contact System. This offers support for remote monitoring and management of a wide range of external devices. The sensorProbe8-X20 system enables connection and monitoring of devices like HVAC Systems, Security Equipment, UPS, Generators, Industrial Equipment and much more. The sensorProbe8-X20 embedded web server makes the addition of these devices easy. The sensorProbe8-X20 comes with 8 autoSense Intelligent sensor ports, for connecting a wide range of our intelligent sensors. An additional 20x 2-wire dry contact ports are provided giving a total of up to 28 dry contact ports. The specially designed 2 wire dry contact ports are easy to use and allow you to make your own dry contact cables quickly. The sensorProbe8-X20 is a completely embedded host. It is equipped with a TCP/IP stack, internal web Server, e-mail and Full SNMP functionality. sensorProbe8-X20 safeguards your infrastructure, resources and investment from external disaster before it happens. ;N/A;https://www.akcp.com/wp-content/uploads/2014/11/sensorProbe8-X20.png
DC Sensor Controlled Relay;1-DC Sensor Controlled Relay The Sensor Controlled Relay can control the electrical power to devices managed over the Internet The relay can provide automatic responses to sensor alerts, for example, to switch on the fan when the room temperature rises beyond the threshold level or to turn on a light when the motion detector is triggered.  2-  The Sensor Controlled Relay can control the electrical power to devices managed over the Internet. With easy configuration and integration with the sensorProbe product series. The Sensor Controlled Relay defines a new era in energy management. The Sensor Controlled Relay is easily controlled by any of AKCP’s extensive selection of sensors. The relay can provide automatic responses to sensor alerts. This is useful, for example, to switch on the fan when the room temperature rises beyond the threshold level or to turn on a light when the motion detector is triggered. Setting up the Sensor Controlled Relay is easy with its built in autosense feature and user friendly web interface. SNMP Compatible The Sensor Controlled Relay can also be controlled via external computers using the included snmp command line utilities either interactively or programmatically. In addition the Sensor Controlled Relay can be controlled via the integrated we interface on the sensorProbe. Advanced Materials The Sensor Controlled Relay includes Metal Oxide Varistors (MOVs) and Snubber circuits to protect the open contacts of the relay from high voltage spikes or noise transients. It monitors the power and load & will accept a control signal which is sent from the sensorProbe or securityProbe base unit. A simple, point and click web manager can set link the Sensor Controlled Relay to a sensor. When the sensor goes to the chosen state, for example, High Critical, the Relay can be made to Cycle, which will turn on and then turn off the external device for the selected period of time. In this case, when the sensor goes High Critical, the automatic response system will Cycle the relay for 20 seconds. Users can easily change the fields in the Relay Settings Menu according to their needs using the dropdown list boxes. Increased Response Time The Sensor Controlled Relay with the automatic response feature can give the users more flexibility in responding to the environmental alerts. Automatic response eliminates the need for the user intervention during the alarm condition. The Sensor Controlled Relay has a built in fuse that provides protection for the external devices from possible damage due to over voltages or high current. Status of The Sensor Controlled Relay is reported by 4 LEDs on the board. Remote monitoring of the status is available using SNMP traps, web interface, e-mail and SMS. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/DC-Sensor-Controlled-Relay.png
Infrared Sensor Exit Button;1-Infrared Sensor Exit Button The button is contactless, easy to install and integrates seamlessly with the AKCPro Server Application This Stainless Steel, Infrared door release button can be used as a general exit release button or as an emergency release switch.  2-  This Stainless Steel, Infrared door release button can be used as a general exit release button or as an emergency release switch. The button is contactless, easy to install and integrates seamlessly with the AKCPro Server Application. Unlike traditional door release buttons, an Infrared switch does not require any form of physical pressure to operate. Simply placing a hand in front of the unit will activate the sensor, and change the internal relay state to operate the electronic lock. ;N/A;https://www.akcp.com/wp-content/uploads/2014/12/no-touch.png
Temperature Sensor (Water Resistant);1-Temperature Sensor (Water Resistant) Temperature sensor for exposed environments This water resistant version of the AKCP temperature sensor is designed for outdoor usage, or indoor area that are subject to water or moisture (eg. greenhouses).  2-  This water resistant version of the AKCP temperature sensor is designed for outdoor usage, or indoor area that are subject to water or moisture (eg. greenhouses). The Temperature sensor is compatible with all of our sensorProbe and securityProbe series base units. Designed to record accurate temperature data it is ideal for giving advanced warning of temperature fluctuations that can potentially damage sensitive equipment. This advance notification can protect your data and systems from catastrophic events. Setup is simple with the sensorProbe and securityProbe autosense function. Once plugged into the intelligent sensor port the base unit automatically detects the sensors presence and configures it for you. All you need to do is set your thresholds for low and high warning and critical parameters. The built in graphing function of the base unit gives you a pattern of temperature trends over time. For those who require an industrial strength temperature sensor for extremes of high or low temperatures, we recommend the AKCP Thermocouple sensor. ;N/A;https://www.akcp.com/wp-content/uploads/2019/07/Thermocouple-Sensor.jpg
Power Monitoring Sensor;1-Power Monitoring Sensor The Power Monitor Sensor gives vital information and allows you to remotely monitor power eliminating the need for manual power audits as well as providing immediate alerts to potential problems The AKCP Power Monitor Sensor is specifically designed to be used with AKCP’s sensorProbe+ and securityProbe base units.  2-  The AKCP Power Monitor Sensor gives vital information and allows you to remotely monitor power eliminating the need for manual power audits as well as providing immediate alerts to potential problems. The AKCP Power Monitor Sensor is specifically designed to be used with AKCP’s sensorProbe+ and securityProbe base units. It has been integrated into the sensorProbe+ and securityProbe’s web interface with its own “Power Management” menu, allowing multiple three phase and single phase Power Monitor Sensors to be set up on a single sensorProbe+ or securityProbe depending on which readings are required. Please check the sensorProbe+ Modbus manual or the PMS manuals on our website for more detailed information on this. Data collected over time using the Power Monitor sensor can also be viewed using the built in graphing tool. Combining this durable Power Monitor Sensor with the sensorProbe+ and securityProbe creates an IP-enabled power monitoring capable of monitoring / measuring : Phase Line Voltages Current Power Factor Active Energy Active Power Create alert notifications using the Rich Notification Suite and choose any combination of these alert options: SMS Email MMS Telephone call Fax SNMP Relay switch automates corrective action. This four-wire sensor is encased in sturdy white plastic and mounts on a 35mm DIN rail. Order it for 110 or 220 power supplies. It functions with single- or three-phase circuits, and meets international standards for active and reactive energy – IEC 62053-21 and IEC 62053-23, respectively. The change from our previous type PMS to this type of Power Monitor Sensors provides improvements to the hardware design and quality. Providing a much more stable product with enhanced performance. Note: Installation should be performed by licensed electricians familiar with applicable codes and regulations. ;N/A;https://www.akcp.com/wp-content/uploads/2014/03/power-monitoring-sensor-fl.png
S-DCU – Door Control Unit – Professional Access Control Systems for Data Centers and Remote Site Locations;1-Door Control Unit  2-  AKCP’s Access Control Package includes all the advanced features you have come to expect from an AKCP product. Utilizing the experience gained from over 100,000 client installations and 30 years of cutting edge monitoring system development, AKCP has produced a highly specified Access Control solution. The core of AKCP’s Access Control Solution is our Door Control Unit. The Door Control Unit (DCU) is a versatile yet compact base unit powered via 12 VDC. You can also add up to 2 additional environmental monitoring sensors using RJ45 plug and play technology. The Door Control Unit can be used with various audio devices such as alarms or can be operated without the aid of additional audio using its own built in system. The front panel of the DCU comes equipped with LED lighting to easily display sensor and device status. The Door Control Unit also features an RS485 MODBUS connection for additional convenience. AKCP’s access control solutions allow you to implement the high security standards that you need while also making it easier to gather important information on your environment and employees. ;N/A;https://www.akcp.com/wp-content/uploads/2014/12/door-control-unit1.jpg
